


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.1 (b25)     Uptime:    0.000 s
Compiled:   May 26 2022 12:09:46     Directory:  ome/aj/vexcode/aj-code


time (ms), velocity (RPM), voltage (mV), current(mA), power (W), temperature (deg C), torque (Nm)
1288490188800001024.000000, 73.533333, 9006, 2198, 7.059363, 40.000000, 0.916927
1331439861760001024.000000, 81.066667, 9049, 2165, 7.657304, 40.000000, 0.902167
1374389534720001024.000000, 80.000000, 9111, 2141, 7.465205, 40.000000, 0.891261
1417339207680001024.000000, 75.266667, 9074, 2131, 6.990465, 40.000000, 0.887068
1460288880640001024.000000, 75.000000, 9104, 2126, 6.947110, 40.000000, 0.884700
1503238553600001024.000000, 78.266667, 9123, 2117, 7.216377, 40.000000, 0.880634
1546188226560001024.000000, 77.066667, 9074, 2117, 7.107938, 40.000000, 0.880908
1589137899520001024.000000, 78.866667, 9024, 2113, 7.261721, 40.000000, 0.879426
1632087572480001024.000000, 77.000000, 8993, 2097, 7.034484, 40.000000, 0.872559
1675037245440001024.000000, 80.333333, 9030, 2076, 7.259555, 40.000000, 0.863113
1717986918400001024.000000, 78.000000, 9049, 2049, 6.950813, 40.000000, 0.851127
1760936591360001024.000000, 77.200000, 9024, 2033, 6.823746, 40.000000, 0.844226
1803886264320001024.000000, 78.933333, 9018, 2032, 6.973596, 40.000000, 0.843820
1846835937280001024.000000, 83.666667, 9006, 2011, 7.311420, 40.000000, 0.834647
1889785610240001024.000000, 82.800000, 9006, 1988, 7.147953, 40.000000, 0.824527
1932735283200001024.000000, 81.333333, 8987, 1957, 6.906087, 40.000000, 0.810992
1975684956160001024.000000, 78.400000, 9018, 1956, 6.651985, 40.000000, 0.810380
2018634629120001024.000000, 82.400000, 9067, 1953, 6.977628, 40.000000, 0.808787
2061584302080001024.000000, 84.466667, 9067, 1945, 7.121504, 40.000000, 0.805267
2104533975040001024.000000, 83.133333, 9061, 1946, 7.013210, 40.000000, 0.805740
2147483648000001024.000000, 83.800000, 9043, 1942, 7.054888, 40.000000, 0.804080
2190433320960001024.000000, 80.466667, 9030, 1945, 6.785996, 40.000000, 0.805473
2233382993920001024.000000, 84.466667, 9055, 1922, 7.032598, 40.000000, 0.795213
2276332666880001024.000000, 86.866667, 9086, 1908, 7.174823, 40.000000, 0.788881
2319282339840001024.000000, 83.733333, 9111, 1908, 6.914801, 40.000000, 0.788741
2362232012800001024.000000, 84.666667, 9135, 1917, 7.025795, 40.000000, 0.792568
2405181685760001024.000000, 85.333333, 9086, 1907, 7.044245, 40.000000, 0.788441
2448131358720001024.000000, 84.000000, 9074, 1898, 6.899939, 40.000000, 0.784548
2491081031680001024.000000, 85.466667, 9055, 1907, 7.056797, 40.000000, 0.788613
2534030704640001024.000000, 88.333333, 9080, 1906, 7.288134, 40.000000, 0.788034
2576980377600001024.000000, 86.533333, 9037, 1880, 7.038145, 40.000000, 0.776834
2619930050560001024.000000, 83.666667, 9030, 1866, 6.751367, 40.000000, 0.770713
2662879723520001024.000000, 86.200000, 9055, 1869, 6.966447, 40.000000, 0.771893
2705829396480001024.000000, 89.933333, 9092, 1848, 7.179219, 40.000000, 0.762447
2748779069440001024.000000, 90.266667, 9055, 1826, 7.116292, 40.000000, 0.752973
2791728742400001024.000000, 86.400000, 9049, 1816, 6.771958, 40.000000, 0.748607
2834678415360001024.000000, 85.666667, 9024, 1826, 6.755195, 40.000000, 0.753146
2877628088320001024.000000, 88.333333, 9000, 1812, 6.909739, 40.000000, 0.747120
2920577761280001024.000000, 92.333333, 9080, 1783, 7.094968, 40.000000, 0.733914
2963527434240001024.000000, 91.866667, 9074, 1779, 7.042502, 40.000000, 0.732188
3006477107200001024.000000, 88.266667, 9018, 1779, 6.769410, 40.000000, 0.732500
3049426780160001024.000000, 87.466667, 8981, 1769, 6.669651, 40.000000, 0.728306
3092376453120001024.000000, 90.200000, 9067, 1748, 6.786289, 40.000000, 0.718587
3135326126080001024.000000, 91.333333, 9067, 1744, 6.854726, 40.000000, 0.716827
3178275799040001024.000000, 90.200000, 9030, 1744, 6.771615, 40.000000, 0.717033
3221225472000001024.000000, 90.533333, 9067, 1744, 6.794685, 40.000000, 0.716827
3264175144960001024.000000, 90.266667, 9055, 1736, 6.742036, 40.000000, 0.713373
-987842478079997952.000000, 89.466667, 9018, 1732, 6.667729, 40.000000, 0.711820
-944892805119997952.000000, 91.733333, 9024, 1737, 6.857467, 40.000000, 0.713986
-901943132159997952.000000, 99.733333, 9067, 1720, 7.374892, 40.000000, 0.706267
-858993459199997952.000000, 95.000000, 9067, 1699, 6.932975, 40.000000, 0.697027
-816043786239997952.000000, 91.066667, 9006, 1693, 6.623995, 40.000000, 0.694727
-773094113279997952.000000, 92.200000, 9080, 1689, 6.685461, 40.000000, 0.692554
-730144440319997952.000000, 95.933333, 9098, 1670, 6.871189, 40.000000, 0.684094
-687194767359997952.000000, 95.333333, 9067, 1662, 6.794804, 40.000000, 0.680747
-644245094399997952.000000, 91.933333, 9037, 1687, 6.659961, 40.000000, 0.691914
-601295421439997952.000000, 94.000000, 9080, 1689, 6.815979, 40.000000, 0.692554
-558345748479998016.000000, 94.000000, 9086, 1672, 6.742033, 40.000000, 0.685041
-515396075519998016.000000, 93.133333, 9061, 1669, 6.668360, 40.000000, 0.683860
-472446402559998016.000000, 97.133333, 9061, 1668, 6.950286, 40.000000, 0.683420
-429496729599998016.000000, 95.866667, 9061, 1660, 6.824320, 40.000000, 0.679900
